RideProfileId,ServiceTypeId,RideTypeId,VehicleTypeId,ProfileName
79f16599-a10f-4229-88f7-27863bb9c68e,5,1,14,Simple bridged passenger ride with hybrid car
3597682e-f5b7-42f2-a940-cf7a5b085252,5,1,9,Simple bridged passenger ride with wagon
d9d3fdc4-c0b5-4360-a11b-3196fe94b88c,1,2,1,Simple passenger ride (no driver) with sedan
cdb92d8a-5e6d-476b-93ce-9880071a02b4,1,2,2,Simple passenger ride (no driver) with hatchback
80529018-e41e-4a47-ac17-75ed39610919,1,2,3,Simple passenger ride (no driver) with suv
8ee54cdc-52bc-4301-9abe-ef1f584fd02f,1,2,4,Simple passenger ride (no driver) with coupe
fe73145a-93d0-4d27-9dcf-572970cc7fb6,1,2,5,Simple passenger ride (no driver) with convertible
297b282f-3474-4c67-904e-f6751753e7d5,1,2,10,Simple passenger ride (no driver) with crossover
a2921b01-a887-4c35-bea9-fabde0940e6d,1,2,13,Simple passenger ride (no driver) with electric car
a748b5a1-3731-41ea-b8ee-34100dc1e9d9,1,2,14,Simple passenger ride (no driver) with hybrid car
53fe3215-50e6-4a19-a71f-a43f992933ab,1,2,9,Simple passenger ride (no driver) with wagon
d9fd02b7-a5fe-444e-8b52-5aa94530631b,2,2,11,Luxury passenger ride (no driver) with luxury car
9b0b2db9-cca9-44a3-b7bb-16a7fbec050c,2,2,12,Luxury passenger ride (no driver) with sports car
8d1e0bce-ebac-462e-be87-01135c9c91a9,2,2,3,Luxury passenger ride (no driver) with suv
8211c447-42fc-4fbc-bd32-d01f5b3e0ac7,2,2,13,Luxury passenger ride (no driver) with electric car
57ca8478-2c66-40e9-891a-1e8606e0287b,2,2,7,Luxury passenger ride (no driver) with minivan
faaae3c1-d506-4a49-93b0-e25479c2ed6c,5,2,1,Simple bridged passenger ride (no driver) with sedan
2ce1ecdc-a4f4-4d67-8cb2-6d9d0fc55154,5,2,2,Simple bridged passenger ride (no driver) with hatchback
bd51caca-7160-4588-a202-272541d4e850,5,2,3,Simple bridged passenger ride (no driver) with suv
c7100b50-b9e8-433c-ac7c-207841c39710,5,2,4,Simple bridged passenger ride (no driver) with coupe
cd4de189-f771-4209-8c24-3985cf1d5ae6,5,2,5,Simple bridged passenger ride (no driver) with convertible
657c1295-50a5-46b3-8c5b-7bc6190a123d,5,2,10,Simple bridged passenger ride (no driver) with crossover
6acf49e5-b874-4fa5-9a2c-f3f10f46a74d,5,2,13,Simple bridged passenger ride (no driver) with electric car
22650713-079d-43b3-9ca5-144909ddd8f9,5,2,14,Simple bridged passenger ride (no driver) with hybrid car
b07deab9-fb18-4418-babf-7bab625c996c,5,2,9,Simple bridged passenger ride (no driver) with wagon
83dc86d0-177d-4b25-9cdc-9a1bd1ff99fd,1,3,1,Simple passenger ride (teledriving) with sedan
7a2a6a70-e3fe-4420-8c53-1fe436535d0b,1,3,2,Simple passenger ride (teledriving) with hatchback
5ffe63b2-aba9-44f4-8cea-25c53b34efcf,1,3,3,Simple passenger ride (teledriving) with suv
c7dc545e-cae6-4f33-9708-355d85672c30,1,3,4,Simple passenger ride (teledriving) with coupe
30ecc3c9-fda2-43eb-9ad0-2860a85c6d3e,1,3,5,Simple passenger ride (teledriving) with convertible
2c38d92b-e861-4427-b85e-26f9622ae869,1,3,10,Simple passenger ride (teledriving) with crossover
569e4aab-d3f2-4afd-bd93-f7e4bf2d8449,1,3,13,Simple passenger ride (teledriving) with electric car
99f31158-f08e-4893-9c57-dee458e2828b,1,3,14,Simple passenger ride (teledriving) with hybrid car
bb25e4c2-adc4-4cab-91ca-a9868da53ba2,1,3,9,Simple passenger ride (teledriving) with wagon
e7cff2f3-7ca5-4685-9a12-47fdbc3cacb8,2,3,11,Luxury passenger ride (teledriving) with luxury car
d31f059a-1f7e-42fb-bab9-2617f7f4f9b2,2,3,12,Luxury passenger ride (teledriving) with sports car
8048d748-39fb-4611-bfec-cceb10982bab,2,3,3,Luxury passenger ride (teledriving) with suv
e31e6240-7b57-414c-acbf-495c4f2353cd,2,3,13,Luxury passenger ride (teledriving) with electric car
5319abec-e934-4d75-9fb0-8f4b9f867d86,2,3,7,Luxury passenger ride (teledriving) with minivan
4bf45669-75f3-4468-9613-9e8d3bb184d0,5,3,1,Simple bridged passenger ride (teledriving) with sedan
f5931491-1f19-4ef1-9fa5-357e0ce71eb9,5,3,2,Simple bridged passenger ride (teledriving) with hatchback
23966e52-0f41-4eee-b192-d7912da24bf7,5,3,3,Simple bridged passenger ride (teledriving) with suv
98f2b111-1b06-4eb9-8271-8734f14bac15,5,3,4,Simple bridged passenger ride (teledriving) with coupe
e3e713db-d4f1-45c0-949a-685f76d4d016,5,3,5,Simple bridged passenger ride (teledriving) with convertible
d29b4ede-c6e7-4838-96d7-a31872f5e339,5,3,10,Simple bridged passenger ride (teledriving) with crossover
e930ed4f-2f10-49bd-a623-cb45dbeb9043,5,3,13,Simple bridged passenger ride (teledriving) with electric car
06088afc-cbf2-42e3-95c7-90dcfdc2eb37,5,3,14,Simple bridged passenger ride (teledriving) with hybrid car
19777557-2e1e-41a9-bdc5-12f23336078d,5,3,9,Simple bridged passenger ride (teledriving) with wagon
1fa05d69-f096-4faa-a1f7-03d4a08f7fee,1,4,1,Simple passenger ride (fully autonomous) with sedan
06691198-f1d7-445c-a0b0-c4be8410b47f,1,4,2,Simple passenger ride (fully autonomous) with hatchback
e7474af4-a559-4867-8813-3930e7014699,1,4,3,Simple passenger ride (fully autonomous) with suv
c0a56fb2-2ae3-40f2-ae9e-1df082871c4f,1,4,4,Simple passenger ride (fully autonomous) with coupe
ea3fae60-69d6-47fe-b56f-9180ed100533,1,4,5,Simple passenger ride (fully autonomous) with convertible
8e1b9269-0bb5-4bc0-88e4-daa85c276554,1,4,10,Simple passenger ride (fully autonomous) with crossover
3d8427c9-cde0-4c68-ac7c-2817802ad01d,1,4,13,Simple passenger ride (fully autonomous) with electric car
7c9d9559-3d07-49fb-9bfc-41e64441ed7b,1,4,14,Simple passenger ride (fully autonomous) with hybrid car
0d2904be-01da-4e49-9d28-c87a3f94f973,1,4,9,Simple passenger ride (fully autonomous) with wagon
f01be9e3-1537-478f-b8cf-8745ea14ad86,2,4,11,Luxury passenger ride (fully autonomous) with luxury car
89c91b4b-c0f3-4995-a532-d7d7e2903d72,2,4,12,Luxury passenger ride (fully autonomous) with sports car
25559de4-12ce-4a69-9509-5c7b46827ea3,2,4,3,Luxury passenger ride (fully autonomous) with suv
44c0e6c5-ebd1-4043-9e3b-28a44ab0843c,2,4,13,Luxury passenger ride (fully autonomous) with electric car
08834a45-9436-469f-abcc-099fc19a1174,2,4,7,Luxury passenger ride (fully autonomous) with minivan
4c2a7a90-a48d-4778-ba0c-4a3acc16f031,5,4,1,Simple bridged passenger ride (fully autonomous) with sedan
4b841b4f-6a7d-4b4e-9a81-46d386a5f6f3,5,4,2,Simple bridged passenger ride (fully autonomous) with hatchback
73c5530d-f87c-492e-9c29-6e7c8d40f01f,5,4,3,Simple bridged passenger ride (fully autonomous) with suv
56e4b8f9-ef82-4e57-bfc7-c2db99be1fe3,5,4,4,Simple bridged passenger ride (fully autonomous) with coupe
dd380e3f-8735-417c-92df-796df77e95ce,5,4,5,Simple bridged passenger ride (fully autonomous) with convertible
d82d6721-8b83-4b78-a89b-88104d78881d,5,4,10,Simple bridged passenger ride (fully autonomous) with crossover
a95c1b2d-e695-4a94-b014-17ee512c7c82,5,4,13,Simple bridged passenger ride (fully autonomous) with electric car
df230c76-c145-4845-9f86-6be0a97ba19b,5,4,14,Simple bridged passenger ride (fully autonomous) with hybrid car
b156eab1-0be2-4b35-a7ff-bc1d40c0aa35,5,4,9,Simple bridged passenger ride (fully autonomous) with wagon
ffadcdb7-c160-468d-936d-4811d4457b9e,3,5,8,Light cargo transport with van
7a6aac46-c864-4a08-b387-3872129d0373,3,5,6,Light cargo transport with pickup truck
1222bd9e-77a5-4296-b77f-03aa2f452764,3,5,15,Light cargo transport with truck
da892296-7f50-4681-aa94-292a2f0874ff,4,5,7,Heavy cargo transport with minivan
dc06bee8-f7f0-4f06-b1ea-9b7038c8f82a,4,5,8,Heavy cargo transport with van
d9fba2c3-e4fa-46df-bee5-47346bfd82db,4,5,15,Heavy cargo transport with truck
